wkday,hr,dist, avg 
1,0,4.063924553, 0.05 
1,1,2.648435093, 0.04 
1,2,1.315551353, 0.02 
1,3,0.533211237, 0.01 
1,5,1.937665278, 0.03 
1,6,69.41030001, 0.93 
1,7,152.4947949, 2.03 
1,8,141.2162054, 1.88 
1,9,112.8229241, 1.50 
1,10,161.4978438, 2.15 
1,11,150.7089469, 2.01 
1,12,89.14181783, 1.19 
1,13,81.2120668, 1.08 
1,14,188.9377494, 2.52 
1,15,215.1542093, 2.87 
1,16,205.2506285, 2.74 
1,17,189.1924294, 2.52 
1,18,179.8379251, 2.40 
1,19,106.2676317, 1.42 
1,20,180.1429737, 2.40 
1,21,233.3786121, 3.11 
1,22,106.6260616, 1.42 
1,23,57.87587713, 0.77 
2,0,11.91900554, 0.17 
2,1,9.792558034, 0.14 
2,2,0.314125093, 0.00 
2,3,51.1050515, 0.72 
2,4,0.00084201, 0.00 
2,5,0.542827126, 0.01 
2,6,11.95055428, 0.17 
2,7,55.84030627, 0.79 
2,8,134.4549091, 1.89 
2,9,124.9405794, 1.76 
2,10,50.0950515, 0.71 
2,11,46.40314716, 0.65 
2,12,34.56105405, 0.49 
2,13,26.60091285, 0.37 
2,14,53.53171754, 0.75 
2,15,60.02193919, 0.85 
2,16,74.6832754, 1.05 
2,17,100.7576473, 1.42 
2,18,129.062458, 1.82 
2,19,51.84839742, 0.73 
2,20,132.2397564, 1.86 
2,21,57.44173631, 0.81 
2,22,153.7602595, 2.17 
2,23,21.44853921, 0.30 
3,0,16.53605525, 0.22 
3,1,1.415729866, 0.02 
3,2,0.342887936, 0.00 
3,3,1.811944343, 0.02 
3,4,3.552578408, 0.05 
3,5,17.75869144, 0.24 
3,6,52.9550927, 0.71 
3,7,63.51441404, 0.85 
3,8,52.0389822, 0.69 
3,9,61.94685061, 0.83 
3,10,175.2036657, 2.34 
3,11,179.2622312, 2.39 
3,12,70.80066506, 0.94 
3,13,154.5885295, 2.06 
3,14,111.4833642, 1.49 
3,15,93.54577441, 1.25 
3,16,81.30834037, 1.08 
3,17,119.7776096, 1.60 
3,18,114.6872482, 1.53 
3,19,226.4977344, 3.02 
3,20,124.3285814, 1.66 
3,21,162.8107513, 2.17 
3,22,123.8828476, 1.65 
3,23,89.08676096, 1.19 
4,0,72.24524673, 1.03 
4,1,2.230809845, 0.03 
4,2,0.421486953, 0.01 
4,4,8.742463768, 0.12 
4,5,12.79547489, 0.18 
4,6,16.86796123, 0.24 
4,7,49.23570978, 0.70 
4,8,84.79787904, 1.21 
4,9,81.81085461, 1.17 
4,10,207.7327398, 2.97 
4,11,86.43684138, 1.23 
4,12,213.9936351, 3.06 
4,13,66.56162281, 0.95 
4,14,83.87701129, 1.20 
4,15,66.48253131, 0.95 
4,16,120.5660523, 1.72 
4,17,102.7158963, 1.47 
4,18,182.4686122, 2.61 
4,19,264.0155166, 3.77 
4,20,150.6733085, 2.15 
4,21,39.29096852, 0.56 
4,22,97.06153922, 1.39 
4,23,58.44720289, 0.83 
5,0,10.35230115, 0.13 
5,1,10.68391068, 0.14 
5,2,2.464897909, 0.03 
5,3,0.57950376, 0.01 
5,5,0.946011072, 0.01 
5,6,28.87740741, 0.37 
5,7,92.6702804, 1.17 
5,8,103.9576062, 1.32 
5,9,152.6377227, 1.93 
5,10,205.8038588, 2.61 
5,11,205.5236569, 2.60 
5,12,273.5147312, 3.46 
5,13,219.3711755, 2.78 
5,14,165.0419469, 2.09 
5,15,219.6188667, 2.78 
5,16,185.2182089, 2.34 
5,17,242.6693901, 3.07 
5,18,337.1632431, 4.27 
5,19,203.2624518, 2.57 
5,20,185.847853, 2.35 
5,21,171.188475, 2.17 
5,22,121.1926986, 1.53 
5,23,95.03117527, 1.20 
6,0,44.93514605, 0.62 
6,1,39.48486004, 0.54 
6,2,48.90439227, 0.67 
6,3,13.93799636, 0.19 
6,4,4.655273086, 0.06 
6,6,6.511668562, 0.09 
6,7,5.844244381, 0.08 
6,8,17.38454385, 0.24 
6,9,138.0764345, 1.89 
6,10,112.4412148, 1.54 
6,11,208.3221825, 2.85 
6,12,213.3356899, 2.92 
6,13,173.3078023, 2.37 
6,14,200.8876304, 2.75 
6,15,221.2452333, 3.03 
6,16,222.006707, 3.04 
6,17,151.0400307, 2.07 
6,18,100.172013, 1.37 
6,19,179.0637216, 2.45 
6,20,164.4796415, 2.25 
6,21,89.5883368, 1.23 
6,22,88.45443735, 1.21 
6,23,50.2792565, 0.69 
7,0,70.35795139, 1.03 
7,1,41.45505827, 0.61 
7,2,37.40817007, 0.55 
7,3,24.58923889, 0.36 
7,4,9.68014642, 0.14 
7,5,5.175600176, 0.08 
7,6,15.75744136, 0.23 
7,7,6.227706028, 0.09 
7,8,48.20137436, 0.71 
7,9,49.06909533, 0.72 
7,10,87.01475892, 1.28 
7,11,170.6831963, 2.51 
7,12,293.0465199, 4.31 
7,13,387.7050188, 5.70 
7,14,385.6170119, 5.67 
7,15,432.5383513, 6.36 
7,16,233.5582378, 3.43 
7,17,218.1624779, 3.21 
7,18,286.8624402, 4.22 
7,19,202.6532172, 2.98 
7,20,179.4167402, 2.64 
7,21,56.08940334, 0.82 
7,22,90.04597329, 1.32 
7,23,21.97802841, 0.32 
