lat,lon,alt,date,device,os,version
38.8965263367,-76.9854354858,26.9063339233,2013-02-14 02:14:24,"iPhone5,1",6.0.1,1.1
38.889831543,-77.0174102783,33,2013-02-14 13:52:00,"iPhone5,1",6.0.1,1.1
38.8894119263,-77.0320129395,33,2013-02-14 14:04:48,"iPhone5,1",6.0.1,1.1
38.8925590515,-77.0450057983,33,2013-02-14 14:19:44,"iPhone5,1",6.0.1,1.1
38.8979492188,-77.0708007812,64.2255249023,2013-02-14 14:28:16,"iPhone5,1",6.0.1,1.1
38.8971672058,-77.0704116821,66.0536499023,2013-02-14 23:49:20,"iPhone5,1",6.0.1,1.1
38.905216217,-77.0615768433,83,2013-02-14 23:57:52,"iPhone5,1",6.0.1,1.1
38.9007873535,-77.0489273071,61.8667526245,2013-02-15 00:04:16,"iPhone5,1",6.0.1,1.1
38.8989219666,-77.0395584106,45.6471633911,2013-02-15 00:23:28,"iPhone5,1",6.0.1,1.1
38.8999023438,-77.0278396606,44.5625839233,2013-02-15 00:29:52,"iPhone5,1",6.0.1,1.1
38.8961906433,-77.0093917847,38.1909484863,2013-02-15 00:36:16,"iPhone5,1",6.0.1,1.1
38.8947181702,-76.9924163818,36.2138748169,2013-02-15 00:42:40,"iPhone5,1",6.0.1,1.1
38.8964385986,-76.9853744507,28.4206352234,2013-02-15 00:53:20,"iPhone5,1",6.0.1,1.1
38.8891029358,-77.008354187,35,2013-02-15 12:30:56,"iPhone5,1",6.0.1,1.1
38.8887519836,-77.0214538574,34.2978553772,2013-02-15 12:45:52,"iPhone5,1",6.0.1,1.1
38.889831543,-77.0640792847,34.2978553772,2013-02-15 12:54:24,"iPhone5,1",6.0.1,1.1
38.8971786499,-77.0703430176,57.1310272217,2013-02-15 13:00:48,"iPhone5,1",6.0.1,1.1
38.9017486572,-77.0682678223,57.8791923523,2013-02-15 23:28:00,"iPhone5,1",6.0.1,1.1
38.9065284729,-77.052116394,57.8791923523,2013-02-15 23:32:16,"iPhone5,1",6.0.1,1.1
38.8998222351,-77.0281982422,37.5751495361,2013-02-15 23:40:48,"iPhone5,1",6.0.1,1.1
38.8975563049,-77.0069198608,37.5751495361,2013-02-15 23:47:12,"iPhone5,1",6.0.1,1.1
38.8947792053,-76.9901046753,34.595489502,2013-02-15 23:55:44,"iPhone5,1",6.0.1,1.1
38.8962097168,-76.9987487793,32.1837310791,2013-02-16 03:58:56,"iPhone5,1",6.0.1,1.1
38.8979454041,-77.0071258545,32.4830780029,2013-02-16 04:09:36,"iPhone5,1",6.0.1,1.1
38.9171333313,-77.0406112671,41.3546829224,2013-02-16 04:20:16,"iPhone5,1",6.0.1,1.1
38.9363441467,-77.0590438843,52.1400680542,2013-02-16 04:26:40,"iPhone5,1",6.0.1,1.1
38.9294128418,-77.0549926758,76.5391159058,2013-02-16 06:32:32,"iPhone5,1",6.0.1,1.1
38.9172859192,-77.0416412354,65.7536315918,2013-02-16 06:38:56,"iPhone5,1",6.0.1,1.1
38.9063453674,-77.0341186523,52,2013-02-16 06:45:20,"iPhone5,1",6.0.1,1.1
38.8983383179,-77.0114364624,45.4829826355,2013-02-16 06:49:36,"iPhone5,1",6.0.1,1.1
38.8962020874,-76.993560791,34.0207595825,2013-02-16 06:56:00,"iPhone5,1",6.0.1,1.1
38.8964424133,-76.9853820801,28.0223941803,2013-02-16 07:06:40,"iPhone5,1",6.0.1,1.1
38.8961296082,-76.9963302612,35,2013-02-16 17:06:08,"iPhone5,1",6.0.1,1.1
38.89585495,-77.0024490356,30.537197113,2013-02-16 17:12:32,"iPhone5,1",6.0.1,1.1
38.9010696411,-77.0045928955,33.4176597595,2013-02-16 17:27:28,"iPhone5,1",6.0.1,1.1
38.9364738464,-76.8924331665,31.5957698822,2013-02-16 17:36:00,"iPhone5,1",6.0.1,1.1
38.9874687195,-76.8199615479,58.497215271,2013-02-16 17:40:16,"iPhone5,1",6.0.1,1.1
39.0907020569,-76.7051315308,62.9723548889,2013-02-16 17:46:40,"iPhone5,1",6.0.1,1.1
39.1376609802,-76.6982269287,58.9813346863,2013-02-16 17:50:56,"iPhone5,1",6.0.1,1.1
39.2740325928,-76.6723403931,49.567855835,2013-02-16 17:57:20,"iPhone5,1",6.0.1,1.1
39.3076667786,-76.6347427368,49.2558860779,2013-02-16 18:05:52,"iPhone5,1",6.0.1,1.1
39.3072776794,-76.6156234741,41.7987709045,2013-02-16 18:10:08,"iPhone5,1",6.0.1,1.1
39.3518447876,-76.6375350952,108.772125244,2013-02-16 18:25:04,"iPhone5,1",6.0.1,1.1
39.4087867737,-76.5671463013,124.612602234,2013-02-17 00:38:24,"iPhone5,1",6.0.1,1.1
39.4038085938,-76.599609375,137,2013-02-17 18:50:40,"iPhone5,1",6.0.1,1.1
39.4132156372,-76.587020874,146.897674561,2013-02-17 20:50:08,"iPhone5,1",6.0.1,1.1
